sra_sname	treatment	sex	age	rank	DSI_F	Flow_PC1	Flow_PC2	Flow_PC3	year
AMB_53_NULL	NULL	F	10.0150581793292	21	1.09316103439269	0.0194745702863684	1.01379989271958	0.552056209154404	2016
AMB_54_LPS	LPS	M	8.35318275154004	4	NA	0.0997753038952838	-2.84969731704265	1.86997725758016	2013
AMB_54_NULL	NULL	M	8.35318275154004	4	NA	0.0997753038952838	-2.84969731704265	1.86997725758016	2013
AMB_55_LPS	LPS	M	7.00889801505818	10	NA	-2.06836812521926	-1.26120203784843	-0.55963664845085	2016
AMB_55_NULL	NULL	M	7.00889801505818	10	NA	-2.06836812521926	-1.26120203784843	-0.55963664845085	2016
AMB_56_NULL	NULL	M	7.03901437371663	19	NA	0.0792256266647636	-0.308064344193692	-0.827080876339814	2014
AMB_57_LPS	LPS	M	14.5297741273101	5	NA	1.67869468072217	0.0492850075254576	0.676189408930483	2014
AMB_57_NULL	NULL	M	14.5297741273101	5	NA	1.67869468072217	0.0492850075254576	0.676189408930483	2014
AMB_58_NULL	NULL	M	5.87542778918549	13	NA	-1.95523620984392	-0.885145920185605	1.29814583189892	2015
AMB_59_NULL	NULL	F	6.34360027378508	8	1.55079118804763	-0.251804796443094	-1.87402084119128	0.687622782579475	2015
AMB_60_LPS	LPS	M	10.5653661875428	3	NA	-1.20242964033775	-2.03867083258705	0.965257552483793	2014
AMB_60_NULL	NULL	M	10.5653661875428	3	NA	-1.20242964033775	-2.03867083258705	0.965257552483793	2014
AMB_61_LPS	LPS	F	10.9541409993155	14	-0.0417350944743127	1.24224240793117	0.25090559303733	-0.455360135341922	2016
AMB_61_NULL	NULL	F	10.9541409993155	14	-0.0417350944743127	1.24224240793117	0.25090559303733	-0.455360135341922	2016
AMB_62_LPS	LPS	M	20.4736481861739	11	NA	2.28904463202847	0.564725741088299	-0.00773723749887609	2013
AMB_62_NULL	NULL	M	20.4736481861739	11	NA	2.28904463202847	0.564725741088299	-0.00773723749887609	2013
